x,y,z,CdrA_molecule,Cell,Tomogram
195.912,1171.66,219.347,1,1,d01t22_even
193.062,1155.78,218.563,1,1,d01t22_even
193.262,1143.53,216.623,1,1,d01t22_even
186.4,1130.48,215.567,1,1,d01t22_even
177.531,1121.03,214.163,1,1,d01t22_even
166.399,1108.15,212.327,1,1,d01t22_even
576.538,1214.5,158.927,1,2,d01t22_even
562.876,1212.67,159.962,1,2,d01t22_even
555.296,1207.09,160.561,1,2,d01t22_even
542.252,1199.69,161.581,1,2,d01t22_even
532.18,1195.32,162.361,1,2,d01t22_even
527.624,1186.75,162.751,1,2,d01t22_even
522.6,1181.76,163.156,1,2,d01t22_even
589.25,1167.38,183.0,2,2,d01t22_even
574.979,1163.57,180.934,2,2,d01t22_even
559.602,1163.42,178.75,2,2,d01t22_even
549.292,1161.89,177.271,2,2,d01t22_even
538.107,1158.8,175.65,2,2,d01t22_even
528.351,1159.82,174.276,2,2,d01t22_even
523.546,1157.7,173.572,2,2,d01t22_even
616.899,1096.62,195.326,3,2,d01t22_even
606.114,1095.44,195.195,3,2,d01t22_even
597.029,1095.96,195.084,3,2,d01t22_even
590.522,1092.53,195.007,3,2,d01t22_even
583.374,1093.65,194.919,3,2,d01t22_even
577.12,1089.4,194.845,3,2,d01t22_even
569.451,1084.93,194.755,3,2,d01t22_even
559.77,1083.79,194.638,3,2,d01t22_even
542.588,1080.3,194.431,3,2,d01t22_even
592.412,1047.91,110.965,4,2,d01t22_even
582.712,1044.26,107.826,4,2,d01t22_even
573.859,1040.44,104.919,4,2,d01t22_even
568.103,1034.18,102.709,4,2,d01t22_even
567.027,1025.54,101.663,4,2,d01t22_even
568.19,1018.8,101.43,4,2,d01t22_even
594.631,1169.87,191.797,5,2,d01t22_even
587.019,1167.63,194.838,5,2,d01t22_even
575.887,1170.8,199.094,5,2,d01t22_even
566.244,1170.75,202.865,5,2,d01t22_even
554.693,1171.21,207.365,5,2,d01t22_even
545.409,1170.52,211.014,5,2,d01t22_even
534.252,1174.02,215.271,5,2,d01t22_even
522.073,1170.43,220.136,5,2,d01t22_even
787.484,853.856,164.75,6,2,d01t22_even
777.358,839.714,161.379,6,2,d01t22_even
772.971,829.3,159.28,6,2,d01t22_even
757.099,812.718,154.828,6,2,d01t22_even
740.183,793.595,149.867,6,2,d01t22_even
711.133,896.654,119.336,7,2,d01t22_even
703.583,886.619,117.552,7,2,d01t22_even
686.197,860.713,113.137,7,2,d01t22_even
682.835,835.963,110.131,7,2,d01t22_even
678.703,814.444,107.407,7,2,d01t22_even
248.723,243.114,284.685,1,3,d01t22_even
256.834,231.487,286.823,1,3,d01t22_even
262.618,219.488,288.909,1,3,d01t22_even
272.528,209.156,290.932,1,3,d01t22_even
277.124,199.599,292.596,1,3,d01t22_even
286.053,190.702,294.359,1,3,d01t22_even
294.351,186.071,295.326,1,3,d01t22_even
307.639,182.465,296.607,1,3,d01t22_even
641.833,892.75,214.0,2,3,d01t22_even
650.833,889.25,214.0,2,3,d01t22_even
658.333,885.417,214.0,2,3,d01t22_even
662.833,884.917,214.0,2,3,d01t22_even
668.5,886.083,214.0,2,3,d01t22_even
675.333,887.25,214.0,2,3,d01t22_even
682.5,884.917,214.0,2,3,d01t22_even
685.667,882.083,214.0,2,3,d01t22_even
587.8,724.8,200.02,3,3,d01t22_even
605.4,724.8,200.0,3,3,d01t22_even
620.972,727.926,201.088,3,3,d01t22_even
632.012,734.088,201.969,3,3,d01t22_even
642.557,740.188,202.813,3,3,d01t22_even
649.33,744.307,203.356,3,3,d01t22_even
654.741,747.248,203.787,3,3,d01t22_even
664.667,752.167,204.612,3,3,d01t22_even
599.801,811.263,168.083,4,3,d01t22_even
604.279,812.79,153.922,4,3,d01t22_even
609.128,811.612,139.572,4,3,d01t22_even
616.883,813.234,115.473,4,3,d01t22_even
622.954,812.795,97.1104,4,3,d01t22_even
619.672,790.078,193.268,5,3,d01t22_even
635.698,792.93,158.138,5,3,d01t22_even
660.009,794.22,105.495,5,3,d01t22_even
644.319,850.801,211.277,6,3,d01t22_even
654.771,850.1,155.449,6,3,d01t22_even
657.3,851.43,141.198,6,3,d01t22_even
661.767,850.428,117.698,6,3,d01t22_even
650.996,830.189,225.002,7,3,d01t22_even
664.885,829.161,223.053,7,3,d01t22_even
682.588,834.217,220.436,7,3,d01t22_even
695.866,831.174,218.615,7,3,d01t22_even
704.526,828.031,217.452,7,3,d01t22_even
725.576,831.16,214.401,7,3,d01t22_even
734.203,829.349,213.214,7,3,d01t22_even
293.966,285.791,262.659,8,3,d01t22_even
305.994,277.707,267.348,8,3,d01t22_even
318.583,265.297,273.588,8,3,d01t22_even
333.477,230.199,287.842,8,3,d01t22_even
349.726,202.564,299.806,8,3,d01t22_even
205.733,265.197,225.029,9,3,d01t22_even
207.963,264.343,209.47,9,3,d01t22_even
208.621,259.841,190.471,9,3,d01t22_even
212.335,259.489,168.193,9,3,d01t22_even
216.504,260.041,146.391,9,3,d01t22_even
182.144,230.518,236.396,10,3,d01t22_even
190.213,191.432,227.964,10,3,d01t22_even
194.254,170.467,223.455,10,3,d01t22_even
192.292,161.081,221.634,10,3,d01t22_even
184.952,155.132,220.803,10,3,d01t22_even
522.75,65.625,203.612,1,4,d01t22_even
506.452,52.7558,206.882,1,4,d01t22_even
496.713,43.9122,210.356,1,4,d01t22_even
489.553,36.2184,213.115,1,4,d01t22_even
483.637,30.6398,215.26,1,4,d01t22_even
477.011,27.0844,217.202,1,4,d01t22_even
469.502,22.7755,219.45,1,4,d01t22_even
463.532,20.8331,220.982,1,4,d01t22_even
432.151,146.1,129.681,2,4,d01t22_even
417.878,142.182,129.319,2,4,d01t22_even
401.371,137.304,128.899,2,4,d01t22_even
387.97,133.188,128.557,2,4,d01t22_even
374.282,130.238,128.215,2,4,d01t22_even
367.197,128.91,128.039,2,4,d01t22_even
361.263,124.569,127.873,2,4,d01t22_even
421.833,328.366,201.924,3,4,d01t22_even
410.833,330.016,201.689,3,4,d01t22_even
400.5,324.735,202.44,3,4,d01t22_even
395.833,316.815,203.568,3,4,d01t22_even
391.833,308.235,204.789,3,4,d01t22_even
388.167,297.015,206.386,3,4,d01t22_even
390.5,286.125,207.935,3,4,d01t22_even
395.167,279.854,208.828,3,4,d01t22_even
399.567,278.594,208.452,3,4,d01t22_even
387.746,380.049,109.758,4,4,d01t22_even
379.367,379.651,107.097,4,4,d01t22_even
371.57,374.477,104.642,4,4,d01t22_even
368.264,362.308,103.642,4,4,d01t22_even
366.318,344.999,103.095,4,4,d01t22_even
364.916,332.921,102.7,4,4,d01t22_even
363.627,327.255,102.314,4,4,d01t22_even
766.25,757.161,189.215,5,4,d01t22_even
760.774,771.951,184.521,5,4,d01t22_even
748.21,780.875,180.402,5,4,d01t22_even
739.346,779.843,179.444,5,4,d01t22_even
733.88,778.787,178.965,5,4,d01t22_even
749.554,773.584,133.246,6,4,d01t22_even
745.022,783.408,133.509,6,4,d01t22_even
734.645,789.372,133.765,6,4,d01t22_even
731.223,794.018,133.906,6,4,d01t22_even
716.969,796.736,134.144,6,4,d01t22_even
704.162,800.924,134.394,6,4,d01t22_even
934.65,774.208,62.4813,7,4,d01t22_even
934.05,783.805,62.2468,7,4,d01t22_even
933.05,793.202,62.0171,7,4,d01t22_even
931.45,800.8,61.8314,7,4,d01t22_even
928.05,806.398,61.6946,7,4,d01t22_even
923.85,812.596,61.5431,7,4,d01t22_even
708.0,769.125,108.0,8,4,d01t22_even
696.0,783.625,108.0,8,4,d01t22_even
691.75,793.125,108.0,8,4,d01t22_even
689.75,801.625,108.0,8,4,d01t22_even
679.25,811.625,108.0,8,4,d01t22_even
680.5,827.125,108.0,8,4,d01t22_even
811.076,1055.01,163.527,1,1,d01t11_even
816.732,1034.69,163.014,1,1,d01t11_even
827.121,1007.63,162.305,1,1,d01t11_even
835.22,989.321,161.817,1,1,d01t11_even
842.32,979.197,161.524,1,1,d01t11_even
847.629,973.739,161.353,1,1,d01t11_even
854.663,972.156,161.255,1,1,d01t11_even
294.125,1373.13,190.923,2,1,d01t11_even
286.535,1362.53,190.809,2,1,d01t11_even
275.608,1349.51,190.661,2,1,d01t11_even
269.824,1342.61,190.582,2,1,d01t11_even
